char,char,int,double,char,int,int,int,int,int,char,int,float,char,int,char,char,int,char
모델명,제조사,가격,화면크기(inch),운영체제,용량(GB),렘(GB),전면카메라(만 화소),후면카메라(만 화소),무게(g),크기(mm),베터리용량(mAh),속도(Ghz),화면해상도,출시년도,색상,링크,카운트,링크2
iPhone XsM(512GB),Apple,1980000,6.5,iOS 12.0,512,4,700,1200,208,77.4*157.5*7.7,3174,4.03,2688*1242,2018,골드  실버  스페이스 그레이,https://namu.wiki/w/iPhone%20XS%20Max,0,https://www.youtube.com/embed/Xpj9cjfLTSE
iPhone XsM(256GB),Apple,1710000,6.5,iOS 12.0,256,4,700,1200,208,77.4*157.5*7.7,3174,4.03,2688*1242,2018,골드  실버  스페이스 그레이,https://namu.wiki/w/iPhone%20XS%20Max,0,https://www.youtube.com/embed/Xpj9cjfLTSE
iPhone XsM(64GB),Apple,1500000,6.5,iOS 12.0,64,4,700,1200,208,77.4*157.5*7.7,3174,4.03,2688*1242,2018,골드  실버  스페이스 그레이,https://namu.wiki/w/iPhone%20XS%20Max,0,https://www.youtube.com/embed/Xpj9cjfLTSE
iPhone XR(256GB),Apple,1200000,6.1,iOS 12.0,256,3,700,1200,194,75.7*150.9*8.3,2942,4.03,1792*828,2018,블랙 화이트 블루 옐로 코럴 레드,https://namu.wiki/w/iPhone%20XR,0,https://www.youtube.com/embed/rifsM9WCwII
iPhone XR(128GB),Apple,1060000,6.1,iOS 12.0,128,3,700,1200,194,75.7*150.9*8.3,2942,4.03,1792*828,2018,블랙 화이트 블루 옐로 코럴 레드,https://namu.wiki/w/iPhone%20XR,0,https://www.youtube.com/embed/rifsM9WCwII
iPhone XR(64GB),Apple,990000,6.1,iOS 12.0,64,3,700,1200,194,75.7*150.9*8.3,2942,4.03,1792*828,2018,블랙 화이트 블루 옐로 코럴 레드,https://namu.wiki/w/iPhone%20XR,0,https://www.youtube.com/embed/rifsM9WCwII
iPhone X(256GB),Apple,1840000,5.8,iOS 12.0,256,3,700,1200,174,70.9*143.6*7.7,2716,4,2436*1125,2017,스페이스 그레이  실버,https://namu.wiki/w/iPhone%20X,0,https://www.youtube.com/embed/rYpWrpjUzI0
iPhone X(64GB),Apple,1540000,5.8,iOS 12.0,64,3,700,1200,174,70.9*143.6*7.7,2716,4,2436*1125,2017,스페이스 그레이  실버,https://namu.wiki/w/iPhone%20X,0,https://www.youtube.com/embed/rYpWrpjUzI0
iPhone Xs(512GB),Apple,1850000,5.8,iOS 12.0,512,4,700,1200,177,70.9*143.6*7.7,2658,4.03,2436*1125,2017,골드  실버  스페이스 그레이,https://namu.wiki/w/iPhone%20XS,0,https://www.youtube.com/embed/9m_K2Yg7wGQ
iPhone Xs(256GB),Apple,1580000,5.8,iOS 12.0,256,4,700,1200,177,70.9*143.6*7.7,2658,4.03,2436*1125,2018,골드  실버  스페이스 그레이,https://namu.wiki/w/iPhone%20XS,0,https://www.youtube.com/embed/9m_K2Yg7wGQ
